epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,624.626,1.00656,0.98481,1,0.10094,0.00036663,0.00036663,0.00036663
2,899.571,0.15799,0.99241,1,0.02757,0.000688324,0.000688324,0.000688324
3,1158.17,0.09975,0.99241,1,0.03162,0.000961134,0.000961134,0.000961134
4,1410.5,0.10861,0.99747,1,0.01555,0.000891022,0.000891022,0.000891022
5,1688.66,0.11095,0.98481,1,0.04334,0.000817696,0.000817696,0.000817696
6,1943,0.08304,0.99747,1,0.01035,0.00074437,0.00074437,0.00074437
7,2192.41,0.04963,0.99747,1,0.00643,0.000671044,0.000671044,0.000671044
8,2444.46,0.06842,0.99747,1,0.00623,0.000597718,0.000597718,0.000597718
9,2706.27,0.04007,0.99747,1,0.01234,0.000524392,0.000524392,0.000524392
10,2961.05,0.03665,0.99747,1,0.01525,0.000451066,0.000451066,0.000451066
11,3213.68,0.03122,0.99494,1,0.02618,0.00037774,0.00037774,0.00037774
12,3477.74,0.04411,0.99747,1,0.02128,0.000304414,0.000304414,0.000304414
13,3723.33,0.04192,0.99747,1,0.01215,0.000231088,0.000231088,0.000231088
14,3984.62,0.01961,0.99747,1,0.01425,0.000157762,0.000157762,0.000157762
15,4236.26,0.03648,0.99747,1,0.01521,8.4436e-05,8.4436e-05,8.4436e-05
